,PRICE , TIME 
708,2563.6,10:20:49
709,2563.6,10:20:55
710,2563.6,10:21:00
711,2559.75,10:21:05
712,2559.75,10:21:10
713,2559.75,10:21:15
714,2559.75,10:21:20
715,2559.75,10:21:26
716,2559.75,10:21:31
717,2559.75,10:21:36
718,2559.75,10:21:41
719,2559.75,10:21:46
720,2559.75,10:21:52
721,2559.75,10:21:57
722,2559.75,10:22:02
723,2559.75,10:22:07
724,2559.75,10:22:12
725,2559.75,10:22:18
726,2559.75,10:22:23
727,2559.75,10:22:28
728,2559.75,10:22:33
729,2559.75,10:22:38
730,2559.75,10:22:43
731,2559.75,10:22:49
732,2559.75,10:22:54
733,2557.8,10:22:59
734,2557.8,10:23:04
735,2557.8,10:23:09
736,2557.8,10:23:14
737,2557.8,10:23:20
738,2557.8,10:23:25
739,2557.8,10:23:30
740,2557.8,10:23:35
741,2557.8,10:23:40
742,2557.8,10:23:46
743,2557.8,10:23:51
744,2557.8,10:23:56
745,2557.8,10:24:01
746,2557.8,10:24:06
747,2557.8,10:24:11
748,2557.8,10:24:17
749,2557.8,10:24:22
750,2557.8,10:24:27
751,2557.8,10:24:32
752,2557.8,10:24:37
753,2557.8,10:24:43
754,2557.8,10:24:48
755,2556.45,10:24:53
756,2556.45,10:24:58
757,2556.45,10:25:03
758,2556.45,10:25:09
759,2556.45,10:25:14
760,2556.45,10:25:19
761,2556.45,10:25:24
762,2556.45,10:25:29
763,2556.45,10:25:34
764,2556.45,10:25:40
765,2556.45,10:25:45
766,2556.45,10:25:50
767,2556.45,10:25:55
768,2556.45,10:26:00
769,2556.45,10:26:06
770,2556.45,10:26:11
771,2556.45,10:26:16
772,2556.45,10:26:21
773,2556.45,10:26:26
774,2556.45,10:26:32
775,2557.65,10:26:37
776,2552.25,10:26:42
777,2552.25,10:26:47
778,2552.25,10:26:52
779,2552.25,10:26:58
780,2552.25,10:27:03
781,2552.25,10:27:08
782,2552.25,10:27:13
783,2552.25,10:27:18
784,2552.25,10:27:23
785,2552.25,10:27:29
786,2552.25,10:27:34
787,2552.25,10:27:39
788,2552.25,10:27:44
789,2552.25,10:27:50
790,2552.25,10:27:55
791,2552.25,10:28:00
792,2552.25,10:28:05
793,2552.25,10:28:11
794,2552.25,10:28:16
795,2552.25,10:28:21
796,2552.25,10:28:26
797,2552.25,10:28:31
798,2556.0,10:28:36
799,2556.0,10:28:42
800,2556.0,10:28:47
801,2556.0,10:28:52
802,2556.0,10:28:57
803,2556.0,10:29:02
804,2556.0,10:29:07
805,2556.0,10:29:13
806,2556.0,10:29:18
807,2556.0,10:29:23
808,2556.0,10:29:28
809,2556.0,10:29:33
810,2556.0,10:29:39
811,2556.0,10:29:44
812,2556.0,10:29:49
813,2556.0,10:29:54
814,2556.0,10:29:59
815,2556.0,10:30:05
816,2556.0,10:30:10
817,2556.0,10:30:15
818,2556.0,10:30:20
819,2556.0,10:30:25
820,2556.0,10:30:30
821,2556.0,10:30:36
822,2555.9,10:30:41
823,2555.9,10:30:46
824,2555.9,10:30:51
825,2555.9,10:30:56
826,2555.9,10:31:02
827,2555.9,10:31:07
828,2555.9,10:31:12
829,2555.9,10:31:17
830,2555.9,10:31:22
831,2555.9,10:31:27
832,2555.9,10:31:33
833,2555.9,10:31:38
834,2555.9,10:31:43
835,2555.9,10:31:48
836,2555.9,10:31:53
837,2555.9,10:31:59
838,2555.9,10:32:04
839,2555.9,10:32:09
840,2555.9,10:32:14
841,2555.9,10:32:19
842,2555.9,10:32:24
843,2555.8,10:32:30
844,2555.8,10:32:35
845,2555.8,10:32:40
846,2555.8,10:32:45
847,2555.8,10:32:50
848,2555.8,10:32:56
849,2555.8,10:33:01
850,2555.8,10:33:06
851,2555.8,10:33:11
